article id	publication date	researcher ids	title	doi	issn	publisher	volume	issue	pages
pub.1103535243	2018-03-01	ur.01371455346.04	Impact of talker adaptation on speech processing and working memory	10.1121/1.5036278	0001-4966	Acoustical Society of America (ASA)	143	3	1923-1923
pub.1101288991	2018-03-01	ur.01173746406.51	Advancing Human Papillomavirus Vaccine Delivery: 12 Priority Research Gaps	10.1016/j.acap.2017.04.023	1876-2859	Elsevier	18	2	s14-s16
pub.1084210716	2018-03-01	ur.01040310261.21||ur.0735625427.87	A variant Sp1 (R218Q) transcription factor might enhance HbF expression in β0‐thalassaemia homozygotes	10.1111/bjh.14445	0007-1048	Wiley	180	5	755-757
pub.1092595679	2018-03-01	ur.01321444055.75	Metformin: an antiproliferative agent and methylation regulator in treating prostatic disease?	10.1152/ajprenal.00443.2017	0363-6127	American Physiological Society	314	3	f407-f411
pub.1092906441	2018-03-01	ur.0763034260.23	The COL5A3 and MMP9 genes interact in eczema susceptibility	10.1111/cea.13064	0954-7894	Wiley	48	3	297-305
pub.1101291090	2018-03-01	ur.01173746406.51	Beyond the Statistics: What HPV Means to Women's Lives	10.1016/j.acap.2017.04.013	1876-2859	Elsevier	18	2	s21-s22
pub.1100742392	2018-03-01	ur.01266564761.00	Existing blood transcriptional classifiers accurately discriminate active tuberculosis from latent infection in individuals from south India	10.1016/j.tube.2018.01.002	1472-9792	Elsevier	109	PLoS One 6 4 2011	41-51
pub.1101405280	2018-03-01	ur.016017413474.83	Search for doubly charged Higgs boson production in multi-lepton final states with the ATLAS detector using proton–proton collisions at s=13TeV	10.1140/epjc/s10052-018-5661-z	1434-6044	Springer Nature	78	3	199
pub.1101636927	2018-03-01	ur.014163600153.55	An inactivating mutation in the histone deacetylase SIRT6 causes human perinatal lethality.	10.1101/gad.307330.117	0890-9369	Cold Spring Harbor Laboratory	32	5-6	373-388
pub.1101546866	2018-03-01	ur.01357671363.70	A Multiplexed Human Papillomavirus 16 and 18 Diagnostic Chip for Cervical Cancer in Limited-Resource Settings	10.1200/jgo.18.30000	2378-9506	American Society of Clinical Oncology (ASCO)		4_suppl	11s-11s
pub.1107417008	2018-03-01	ur.014042314215.28	Why is Siemens establishing its robotics R&D centers in China? A case study on the Siemens industrial robot project	10.1109/tems-isie.2018.8478558		Institute of Electrical and Electronics Engineers (IEEE)	00		1-9
pub.1092261502	2018-03-01	ur.01352411245.54	Webs of Support: An Integrative Framework of Relationships, Social Networks, and Social Support for Positive Youth Development	10.1007/s40894-017-0076-x	2363-8346	Springer Nature	3	1	1-11
pub.1100795023	2018-03-01	ur.0776032070.34	Racial/ethnic representation in lifestyle weight loss intervention studies in the United States: A systematic review	10.1016/j.pmedr.2018.01.012	2211-3355	Elsevier	9	Prev. Med. 67 2014	131-137
pub.1100814132	2018-03-01	ur.014042314215.28	Pooling stated and revealed preference data in the presence of RP endogeneity	10.1016/j.trb.2018.01.010	0191-2615	Elsevier	109	J. Environ. Econ. Manage. 26 1994	70-89
pub.1101490528	2018-03-01	ur.012511677001.62	Ultrafast Two-Dimensional Infrared Spectroscopy of a Quasifree Rotor: J Scrambling and Perfectly Anticorrelated Cross Peaks	10.1103/physrevlett.120.103401	0031-9007	American Physical Society (APS)	120	10	103401
pub.1100861253	2018-03-01	ur.012013161431.48	Declining Radial Growth Response of Coastal Forests to Hurricanes and Nor'easters	10.1002/2017jg004125	2169-8953	American Geophysical Union (AGU)	123	3	832-849
pub.1092293075	2018-03-01	ur.01003450437.73	The hatching process and mechanisms of adaptive hatching acceleration in hourglass treefrogs, Dendropsophus ebraccatus	10.1016/j.cbpa.2017.10.020	1095-6433	Elsevier	217	Herpetol. Monogr. 21 2007	63-74
pub.1099939088	2018-03-01	ur.0755733761.56	Fast water transport in graphene nanofluidic channels	10.1038/s41565-017-0031-9	1748-3387	Springer Nature	13	3	238-245
pub.1101359989	2018-03-01	ur.01057476673.30	Comment on “Pulsating Auroras Produced by Interactions of Electrons and Time Domain Structures” by Mozer Et Al.	10.1002/2017ja024844	2169-9380	American Geophysical Union (AGU)	123	3	2064-2070
pub.1101289448	2018-03-01	ur.01057476673.30	Quantitative Evaluation of Radial Diffusion and Local Acceleration Processes During GEM Challenge Events	10.1002/2017ja025114	2169-9380	American Geophysical Union (AGU)	123	3	1938-1952
pub.1092103515	2018-03-04	ur.0767651144.84	Short term prediction of extreme returns based on the recurrence interval analysis	10.1080/14697688.2017.1373843	1469-7688	Taylor & Francis	18	3	1-18
pub.1100213648	2018-03-04	ur.01321444055.75	Expression of aromatase in tumor related stroma is associated with human bladder cancer progression	10.1080/15384047.2017.1414762	1538-4047	Taylor & Francis	19	3	00-00
pub.1100639903	2018-03-05	ur.013714573517.10	Voluntary corporate social responsibility disclosure and religion	10.1108/sampj-02-2017-0014	2040-8021	Emerald	9	1	63-94
pub.1100918663	2018-03-06	ur.010622404415.76	eIF2B Mechanisms of Action and Regulation: A Thermodynamic View.	10.1021/acs.biochem.7b00957	0006-2960	American Chemical Society (ACS)	57	9	1426-1435
pub.1100832032	2018-03-06	ur.01362570276.89||ur.0707030450.48	Label-Free Imaging of Heme Dynamics in Living Organisms by Transient Absorption Microscopy.	10.1021/acs.analchem.7b05046	0003-2700	American Chemical Society (ACS)	90	5	3395-3401
pub.1101131064	2018-03-06	ur.01353026566.06	Rocaglates as dual-targeting agents for experimental cerebral malaria	10.1073/pnas.1713000115	0027-8424	Proceedings of the National Academy of Sciences	115	10	201713000
pub.1092657547	2018-03-06	ur.016064572757.98||ur.01033261006.89	Genetic Predisposition, Clinical Risk Factor Burden, and Lifetime Risk of Atrial Fibrillation	10.1161/circulationaha.117.031431	0009-7322	Wolters Kluwer	137	10	1027-1038
pub.1101355672	2018-03-07	ur.010240402014.24	Assessing the Association of Food Preferences and Self-Reported Psychological Well-Being among Middle-Aged and Older Adults in Contemporary China-Results from the China Health and Nutrition Survey	10.3390/ijerph15030463	1661-7827	MDPI	15	3	463
pub.1101480226	2018-03-07	ur.013656354703.28	Detection of Detergent-sensitive Interactions Between Membrane Proteins.	10.3791/57179	1940-087X	MyJove Corporation		133	
pub.1099622252	2018-03-07	ur.01011437640.72	Computational Neuroscience: Mathematical and Statistical Perspectives	10.1146/annurev-statistics-041715-033733	2326-8298	Annual Reviews	5	1	1-32
pub.1101506938	2018-03-12	ur.07561454573.21||ur.0657407022.62	A generalizable experimental framework for automated cell growth and laboratory evolution	10.1101/280867		Cold Spring Harbor Laboratory			280867
pub.1101083999	2018-03-12	ur.0707030450.48||ur.014743447054.16	Nanoladders Facilitate Directional Axonal Outgrowth and Regeneration	10.1021/acsbiomaterials.7b00981	2373-9878	American Chemical Society (ACS)	4	3	1037-1045
pub.1099880032	2018-03-13	ur.016156456067.33	Genetic Architecture of the Cardiovascular Risk Proteome	10.1161/circulationaha.117.029536	0009-7322	Wolters Kluwer	137	11	1158-1172
pub.1099833825	2018-03-14	ur.01143127556.85	Differential persistence favors habitat preferences that determine the distribution of a reef fish	10.1093/beheco/arx189	1045-2249	Oxford University Press (OUP)	29	2	429-439
pub.1101589677	2018-03-14	ur.010320030677.51	Diffuse and nonlinear imaging for in vivo multiscale preclinical monitoring of mammary tumors (Conference Presentation)	10.1117/12.2288811		SPIE, the international society for optics and photonics			7
pub.1101289366	2018-03-14	ur.011016735655.96	Suppressing Dendritic Lithium Formation Using Porous Media in Lithium Metal-Based Batteries.	10.1021/acs.nanolett.8b00183	1530-6984	American Chemical Society (ACS)	18	3	2067-2073
pub.1101542674	2018-03-15	ur.016363465000.03	Listening to the community: Using formative research to strengthen maternity waiting homes in Zambia	10.1371/journal.pone.0194535	1932-6203	Public Library of Science (PLoS)	13	3	e0194535
pub.1101535112	2018-03-15	ur.0604400047.06||ur.013571763604.06||ur.01157567146.13	DynaSim: A MATLAB Toolbox for Neural Modeling and Simulation	10.3389/fninf.2018.00010	1662-5196	Frontiers	12		10
pub.1101600998	2018-03-15	ur.01245771102.76	A Computational Framework for Design and Optimization of Flexoelectric Materials	10.1142/s0219876218500974	0219-8762	World Scientific Publishing			1850097
pub.1092802184	2018-03-15	ur.011275031255.13	Bases That Leave: Consequences of US Base Closures and Realignments in South Korea	10.1080/00472336.2017.1397728	0047-2336	Taylor & Francis	48	2	1-19
pub.1101566182	2018-03-16	ur.010247325123.07	Understanding the Digital Gap Among US Adults With Disability: Cross-Sectional Analysis of the Health Information National Trends Survey 2013.	10.2196/rehab.8783	2369-2529	JMIR Publications	5	1	e3
pub.1085466128	2018-03-19	ur.01167701455.69	Development of a New Tool for Systematic Observation of Nursing Home Resident and Staff Engagement and Relationship.	10.1093/geront/gnw255	0016-9013	Oxford University Press (OUP)	58	2	e15-e24
pub.1101566362	2018-03-19	ur.01002320722.92	Synthetic Biology Open Language Visual (SBOL Visual) Version 2.0	10.1515/jib-2017-0074	1613-4516	De Gruyter	15	1	20170074
pub.1100564481	2018-03-19	ur.01040756124.48	Neuropharmacology of compulsive eating	10.1098/rstb.2017.0024	0962-8436	The Royal Society	373	1742	20170024
pub.1101033433	2018-03-20	ur.014431077020.62||ur.015575532025.43||ur.010455633157.08||ur.0730574763.03	De Novo Glycan Sequencing by Electronic Excitation Dissociation and Fixed-Charge Derivatization.	10.1021/acs.analchem.7b04077	0003-2700	American Chemical Society (ACS)	90	6	3793-3801
pub.1101124068	2018-03-20	ur.0707030450.48	Antibiotic Susceptibility Determination within One Cell Cycle at Single-Bacterium Level by Stimulated Raman Metabolic Imaging.	10.1021/acs.analchem.7b03382	0003-2700	American Chemical Society (ACS)	90	6	3737-3743
pub.1101576459	2018-03-20	ur.01330132420.37||ur.016221236705.55	Electromechanically tunable metasurface transmission waveplate at terahertz frequencies	10.1364/optica.5.000303	2334-2536	The Optical Society	5	3	303
pub.1101636956	2018-03-20	ur.01033261006.89	Association of Genetic Variation in Coronary Artery Disease–Related Loci With the Risk of Heart Failure With Preserved Versus Reduced Ejection Fraction	10.1161/circulationaha.117.032491	0009-7322	Wolters Kluwer	137	12	1290-1292
pub.1101711824	2018-03-20	ur.016152115754.49	Outlier Detection Using Robust Optimization with Uncertainty Sets Constructed from Risk Measures	10.1145/3199524.3199553	0163-5999	Association for Computing Machinery (ACM)	45	3	174-179
pub.1100076499	2018-03-21	ur.0707030450.48	In Vivo and in Situ Spectroscopic Imaging by a Handheld Stimulated Raman Scattering Microscope	10.1021/acsphotonics.7b01214	2330-4022	American Chemical Society (ACS)	5	3	947-954
pub.1101674806	2018-03-21	ur.01264125436.15||ur.01155132074.18	Muscarinic receptors regulate auditory and prefrontal cortical communication during auditory processing	10.1101/285601		Cold Spring Harbor Laboratory			285601
pub.1101672328	2018-03-21	ur.012411711343.03	Evaluating Water Use for Agricultural Intensification in Southern Amazonia Using the Water Footprint Sustainability Assessment	10.3390/w10040349	2073-4441	MDPI	10	4	349
pub.1101817343	2018-03-23	ur.07724077010.65	Monocular microsaccades: Do they really occur?	10.1167/18.3.18	1534-7362	Association for Research in Vision and Ophthalmology (ARVO)	18	3	18-18
pub.1101774886	2018-03-24	ur.01267636152.03	Folinic Acid Increases Protein Arginine Methylation in Human Endothelial Cells	10.3390/nu10040404	2072-6643	MDPI	10	4	404
pub.1101773841	2018-03-27	ur.01055403312.05||ur.012561557607.67	Does Dietary Fiber Reduce the Risk of Rheumatoid Arthritis?	10.3390/fib6020018	2079-6439	MDPI	6	2	18
pub.1101813503	2018-03-27	ur.0641244015.92	Amyloid-β Induces AMPA Receptor Ubiquitination and Degradation in Primary Neurons and Human Brains of Alzheimer’s Disease	10.3233/jad-170879	1387-2877	IOS Press	Preprint	Preprint	1-13
pub.1101838673	2018-03-28	ur.016243504644.99	Spatiotemporal Control of GPR37 Signaling and Its Behavioral Effects by Optogenetics	10.3389/fnmol.2018.00095	1662-5099	Frontiers	11		95
pub.1101874819	2018-03-31	ur.015742634005.54	Fiat-Shamir and Correlation Intractability from Strong KDM-Secure Encryption	10.1007/978-3-319-78381-9_4	0302-9743	Springer Nature	10820		91-122
pub.1101775876	2018-04-01	ur.015136020167.04	Characterization of the mechanical properties of cancer cells in 3D matrices in response to collagen concentration and cytoskeletal inhibitors	10.1039/c8ib00044a	1757-9694	Oxford University Press (OUP)	10	4	232-241
pub.1100832463	2018-04-01	ur.01322416734.99	Reassessing the value of high‐volume cancer care in the era of precision medicine	10.1002/cncr.31254	0008-543X	Wiley	124	7	1319-1321
pub.1101508451	2018-04-01	ur.015033243422.35	Effect of Protein Intake on Lean Body Mass in Functionally Limited Older Men: A Randomized Clinical Trial	10.1001/jamainternmed.2018.0008	2168-6106	American Medical Association (AMA)	178	4	530-541
pub.1083842137	2018-04-01	ur.01267122244.18||ur.0767651144.84	Geometric Navigation of Axons in a Cerebral Pathway: Comparing dMRI with Tract Tracing and Immunohistochemistry.	10.1093/cercor/bhx034	1047-3211	Oxford University Press (OUP)	28	4	1219-1232
pub.1100220027	2018-04-01	ur.01110255312.59||ur.01072013416.08	Mechanical Properties of Arterial Elastin with Water Loss	10.1115/1.4038887	0148-0731	ASME International	140	4	041012
pub.1100303133	2018-04-01	ur.010240402014.24	Transethnic Evaluation Identifies Low-Frequency Loci Associated With 25-Hydroxyvitamin D Concentrations.	10.1210/jc.2017-01802	0021-972X	The Endocrine Society	103	4	1380-1392
pub.1099659615	2018-04-01	ur.01245771102.76	A multi-material level set-based topology optimization of flexoelectric composites	10.1016/j.cma.2017.12.005	0045-7825	Elsevier	332	Inverse Probl. Sci. Eng. 24 1 2016	47-62
pub.1103192964	2018-04-01	ur.010240402014.24	Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes	10.1038/s41588-018-0084-1	1061-4036	Springer Nature	50	4	559-571
pub.1103924784	2018-04-01	ur.014355462354.45	Combination of inclusive and differential tt¯ charge asymmetry measurements using ATLAS and CMS data at s=7 and 8 TeV	10.1007/jhep04(2018)033	1126-6708	Springer Nature	2018	4	33
pub.1101899119	2018-04-01	ur.01322416734.99	MP21-04 NON-ALCOHOLIC FATTY LIVER DISEASE IN MEN UNDERGOING ANDROGEN DEPRIVATION THERAPY FOR PROSTATE CANCER	10.1016/j.juro.2018.02.695	0022-5347	Wolters Kluwer	199	4	e263
pub.1101146579	2018-04-01	ur.01313375444.17	Cost-effectiveness of hepatitis C screening and treatment linkage intervention in US methadone maintenance treatment programs	10.1016/j.drugalcdep.2017.11.031	0376-8716	Elsevier	185	J. Clin. Microbiol. 36 4 1998	411-420
pub.1100075261	2018-04-01	ur.01003541577.43	Tension‐Activated Delivery of Small Molecules and Proteins from Superhydrophobic Composites	10.1002/adhm.201701096	2192-2640	Wiley	7	7	e1701096
pub.1101888032	2018-04-01	ur.01322416734.99	MP82-04 DO ACCOUNTABLE CARE ORGANIZATIONS IMPACT PROSTATE CANCER SCREENING?	10.1016/j.juro.2018.02.2732	0022-5347	Wolters Kluwer	199	4	e1106-e1107
pub.1100197583	2018-04-01	ur.013067416217.76||ur.011336332567.22	Generating Global Products of LAI and FPAR From SNPP-VIIRS Data: Theoretical Background and Implementation	10.1109/tgrs.2017.2775247	0196-2892	Institute of Electrical and Electronics Engineers (IEEE)	56	4	2119-2137
pub.1100885179	2018-04-01	ur.014243662315.66||ur.012121454115.97||ur.015107356115.96	Predicting Chronic Disease Hospitalizations from Electronic Health Records: An Interpretable Classification Approach	10.1109/jproc.2017.2789319	0018-9219	Institute of Electrical and Electronics Engineers (IEEE)	106	4	690-707
pub.1092668462	2018-04-01	ur.01322416734.99	Comparative effectiveness research methodology using secondary data: A starting user’s guide	10.1016/j.urolonc.2017.10.011	1078-1439	Elsevier	36	4	174-182
pub.1103430973	2018-04-01	ur.010474617377.21||ur.011575122110.62	Integrating photonics with silicon nanoelectronics for the next generation of systems on a chip	10.1038/s41586-018-0028-z	0090-0028	Springer Nature	556	7701	349-354
pub.1103393054	2018-04-01	ur.012561557607.67	Can knee osteoarthritis pain flares be predicted?	10.1016/j.joca.2018.02.521	1063-4584	Elsevier	26		s255
pub.1103393656	2018-04-01	ur.012561557607.67	Relationship of sleep and fatigue to hip osteoarthritis pain exacerbations: an internet-based case-crossover study	10.1016/j.joca.2018.02.488	1063-4584	Elsevier	26		s234-s235
pub.1092618488	2018-04-01	ur.01277136042.64	Nitrogen limitation of decomposition and decay: How can it occur?	10.1111/gcb.13980	1354-1013	Wiley	24	4	1417-1427
pub.1107020799	2018-04-01	ur.011002464341.57	High Performance Dynamic Communication on Reconfigurable Clusters	10.1109/fccm.2018.00053		Institute of Electrical and Electronics Engineers (IEEE)			219-219
pub.1103394358	2018-04-01	ur.01325131157.00	Validation of knee osteoarthritis case identification algorithms in the health improvement network	10.1016/j.joca.2018.02.871	1063-4584	Elsevier	26		s460-s461
pub.1101840372	2018-04-01	ur.012674027322.81	(368) Characteristics of Patients With CTD-associated PAH Treated With Selexipag in the Real-world Setting: Interim Data From the SPHERE Registry	10.1016/j.healun.2018.01.371	1053-2498	Elsevier	37	4	s153-s154
pub.1101896526	2018-04-01	ur.01322416734.99	MP11-10 NEOADJUVANT ANDROGEN DEPRIVATION THERAPY PRIOR TO RADICAL PROSTATECTOMY: RECENT TRENDS IN UTILIZATION AND ASSOCIATION WITH POSTOPERATIVE SURGICAL MARGIN STATUS	10.1016/j.juro.2018.02.376	0022-5347	Wolters Kluwer	199	4	e131
pub.1093138685	2018-04-01	ur.01245771102.76	A NURBS-based inverse analysis for reconstruction of nonlinear deformations of thin shell structures	10.1016/j.cma.2017.09.034	0045-7825	Elsevier	331	Trends Plant Sci. 15 2010	427-455
pub.1092249751	2018-04-01	ur.01325131157.00	Early Functional Connectome Integrity and 1-Year Recovery in Comatose Survivors of Cardiac Arrest	10.1148/radiol.2017162161	0033-8419	Radiological Society of North America (RSNA)	287	1	162161
pub.1100079722	2018-04-01	ur.0767651144.84	Discovering disease-associated genes in weighted protein–protein interaction networks	10.1016/j.physa.2017.12.080	0378-4371	Elsevier	496	Rev. Modern Phys. 74 1 2002	53-61
pub.1103163500	2018-04-01	ur.07705210014.28	Vascular Tissue Engineering: Progress, Challenges, and Clinical Promise	10.1016/j.stem.2018.03.014	1934-5909	Elsevier	22	4	608
pub.1103375804	2018-04-01	ur.01325131157.00	Body fat distribution and its association with risk of incident radiographic knee osteoarthritis	10.1016/j.joca.2018.02.456	1063-4584	Elsevier	26		s218
pub.1100349127	2018-04-01	ur.01325131157.00	Antihypertensive Medication and Dementia Risk in Older Adult African Americans with Hypertension: A Prospective Cohort Study	10.1007/s11606-017-4281-x	0884-8734	Springer Nature	33	4	455-462
pub.1101899628	2018-04-01	ur.07437006102.44	PD28-09 IMPLEMENTATION OF A PERIOPERATIVE VENOUS THROMBOEMBOLISM PROPHYLAXIS PROGRAM FOR PATIENTS UNDERGOING RADICAL CYSTECTOMY ON AN ENHANCED RECOVERY AFTER SURGERY PROTOCOL	10.1016/j.juro.2018.02.1372	0022-5347	Wolters Kluwer	199	4	e566
pub.1101894041	2018-04-01	ur.07437006102.44	PD13-05 UROLOGIC CARE FOR THE ADULT SPINA BIFIDA POPULATION	10.1016/j.juro.2018.02.779	0022-5347	Wolters Kluwer	199	4	e300-e301
pub.1103391677	2018-04-01	ur.012561557607.67	Value and preference towards exercise therapy: a cross-sectional study among Chinese patients with knee osteoarthritis	10.1016/j.joca.2018.02.647	1063-4584	Elsevier	26		s325
pub.1099906506	2018-04-01	ur.0733011452.06	Product reformulation and nutritional improvements after new competitive food standards in schools	10.1017/s1368980017003445	1368-9800	Cambridge University Press (CUP)	21	5	1011-1018
pub.1107019611	2018-04-01	ur.011002464341.57||ur.012375425341.98	FPDeep: Acceleration and Load Balancing of CNN Training on FPGA Clusters	10.1109/fccm.2018.00021		Institute of Electrical and Electronics Engineers (IEEE)			81-84
pub.1103280531	2018-04-01	ur.01002402575.65	Gaps Up To 9 Months Between HIV Primary Care Visits Do Not Worsen Viral Load	10.1089/apc.2018.0001	1087-2914	Mary Ann Liebert	32	4	157-164
pub.1101688997	2018-04-01	ur.01155132074.18	Axial localization with modulated-illumination extended-depth-of-field microscopy.	10.1364/boe.9.001771	2156-7085	The Optical Society	9	4	1771-1782
pub.1083930907	2018-04-01	ur.011427055673.25	Characterization of White Matter Tracts by Diffusion MR Tractography in Cat and Ferret that Have Similar Gyral Patterns.	10.1093/cercor/bhx048	1047-3211	Oxford University Press (OUP)	28	4	1338-1347
pub.1100219524	2018-04-01	ur.0704015755.33	Alcohol Use and HIV Disease Progression in an Antiretroviral Naive Cohort	10.1097/qai.0000000000001624	1525-4135	Wolters Kluwer	77	5	492-501
pub.1101908380	2018-04-01	ur.01011437640.72	Phase reduction and synchronization of a network of coupled dynamical elements exhibiting collective oscillations	10.1063/1.5009669	1054-1500	AIP Publishing	28	4	045103
pub.1091393329	2018-04-01	ur.013045545277.02	Association between missing tooth count and mortality: A systematic review	10.1016/j.jpor.2017.08.003	1883-1958	Elsevier	62	2	134-151
pub.1100836505	2018-04-01	ur.012645211504.09	Emerging Biomarkers in Cutaneous Melanoma	10.1007/s40291-018-0318-z	1177-1062	Springer Nature	22	2	203-218
pub.1100898367	2018-04-01	ur.014672462613.12	Varying acoustic-phonemic ambiguity reveals that talker normalization is obligatory in speech processing	10.3758/s13414-017-1395-5	1943-3921	Springer Nature	80	3	784-797
pub.1091904659	2018-04-01	ur.016246325023.77	Enhanced thermal transport across monolayer MoS2	10.1007/s12274-017-1835-5	1998-0124	Springer Nature	11	4	2173-2180
pub.1090745769	2018-04-01	ur.01125236364.44	Pharmacogenomics study of thiazide diuretics and QT interval in multi-ethnic populations: the cohorts for heart and aging research in genomic epidemiology	10.1038/tpj.2017.10	1470-269X	Springer Nature	18	2	215
pub.1100219514	2018-04-01	ur.0735625427.87	A Mild Phenotype of Severe &bgr;+ Thalassemia in a 16-Month-Old Boy	10.1097/mph.0000000000001068	1077-4114	Wolters Kluwer	40	3	e145-e147
pub.1101262493	2018-04-01	ur.01206762662.22	In rape trauma PTSD, patient characteristics indicate which trauma‐focused treatment they are most likely to complete	10.1002/da.22731	1091-4269	Wiley	35	4	330-338
pub.1101890422	2018-04-01	ur.01321444055.75||ur.01144472346.77||ur.016000073501.06	MP45-01 ANDROGENIC TO ESTROGENIC SWITCH IN THE PROSTATE GLAND OF OVERWEIGHT PATIENT	10.1016/j.juro.2018.02.1440	0022-5347	Wolters Kluwer	199	4	e597
pub.1100866620	2018-04-01	ur.01041021674.13	Transforming growth factor beta superfamily regulation of adipose tissue biology in obesity	10.1016/j.bbadis.2018.01.025	0925-4439	Elsevier	1864	4	1160-1171
pub.1107079401	2018-04-01	ur.012250201145.50	Optimal Stopping Times for Estimating Bernoulli Parameters with Applications to Active Imaging	10.1109/icassp.2018.8462676	1520-6149	Institute of Electrical and Electronics Engineers (IEEE)			4429-4433
pub.1100866585	2018-04-01	ur.01344445762.36	An In Vivo Prediction of Anisometry and Strain in Anterior Cruciate Ligament Reconstruction – A Combined Magnetic Resonance and Dual Fluoroscopic Imaging Analysis	10.1016/j.arthro.2017.10.042	0749-8063	Elsevier	34	4	1094-1103
pub.1100920434	2018-04-01	ur.013230377055.04	BET Proteins Exhibit Transcriptional and Functional Opposition in the Epithelial-to-mesenchymal Transition	10.1158/1541-7786.mcr-17-0568	1541-7786	American Association for Cancer Research (AACR)	16	4	molcanres.0568.2017
pub.1107570399	2018-04-01	ur.015170204647.48	Hybrid Scheduling in Heterogeneous Half-and Full-Duplex Wireless Networks	10.1109/infocom.2018.8485856		Institute of Electrical and Electronics Engineers (IEEE)	00		576-584
pub.1103148527	2018-04-01	ur.01143235167.73	Medicaid Health Insurance Status Limits Patient Accessibility to Rehabilitation Services Following ACL Reconstruction Surgery	10.1177/2325967118763353	2325-9671	SAGE Publications	6	4	2325967118763353
pub.1093156376	2018-04-01	ur.01234512265.35	Longitudinal Associations among Posttraumatic Stress Disorder Symptoms, Traumatic Brain Injury, and Neurocognitive Functioning in Army Soldiers Deployed to the Iraq War	10.1017/s1355617717001059	1355-6177	Cambridge University Press (CUP)	24	4	311-323
pub.1101748188	2018-04-01	ur.01173746406.51	An Introduction to the New Journal Forum	10.1097/lgt.0000000000000369	1089-2591	Wolters Kluwer	22	2	89-90
pub.1103216800	2018-04-01	ur.016017413474.83	Search for heavy ZZ resonances in the ℓ+ℓ-ℓ+ℓ- and ℓ+ℓ-νν¯ final states using proton–proton collisions at s=13 TeV with the ATLAS detector	10.1140/epjc/s10052-018-5686-3	1434-6044	Springer Nature	78	4	293
pub.1099656346	2018-04-01	ur.01001220426.42	Risk factors involved in treatment delays and differences in treatment type for patients with prostate cancer by risk category in an academic safety net hospital	10.1016/j.adro.2017.12.002	2452-1094	Elsevier	3	2	181-189
pub.1100900441	2018-04-01	ur.01044345630.46	Immunogenic chemotherapy: Dose and schedule dependence and combination with immunotherapy	10.1016/j.canlet.2018.01.050	0304-3835	Elsevier	419	Cancer Cell 21 2012	210-221
pub.1100848403	2018-04-01	ur.014511117265.16	The Price of Anarchy in Transportation Networks: Data-Driven Evaluation and Reduction Strategies	10.1109/jproc.2018.2790405	0018-9219	Institute of Electrical and Electronics Engineers (IEEE)	106	4	538-553
pub.1090960018	2018-04-01	ur.01246427270.47	A Waypoint Following Control Design for a Paraglider Model With Aerodynamic Uncertainty	10.1109/tmech.2017.2728678	1083-4435	Institute of Electrical and Electronics Engineers (IEEE)	23	2	518-523
pub.1100318811	2018-04-01	ur.016152115754.49	Federated learning of predictive models from federated Electronic Health Records	10.1016/j.ijmedinf.2018.01.007	1386-5056	Elsevier	112	Int. J. Eng. Res. Appl. 3 2013	59-67
pub.1100287242	2018-04-01	ur.01024156703.79	Minimally Invasive Spine Surgery	10.1097/bsd.0000000000000602	2380-0186	Wolters Kluwer	31	3	e166-e170
pub.1101890114	2018-04-01	ur.016000073501.06	MP35-03 METABOLOMIC EVALUATION OF MRI/US FUSION BIOPSIES DIFFERENTIATES MALIGNANT FROM BENIGN	10.1016/j.juro.2018.02.1116	0022-5347	Wolters Kluwer	199	4	e447-e448
pub.1083530634	2018-04-01	ur.012711135332.39||ur.016423170511.33	Space-Time Tree Ensemble for Action Recognition and Localization	10.1007/s11263-016-0980-8	0920-5691	Springer Nature	126	2-4	314-332
pub.1101902316	2018-04-02	ur.01002320722.92	Synthetic Biology Open Language (SBOL) Version 2.2.0	10.1515/jib-2018-0001	1613-4516	De Gruyter	15	1	20180001
pub.1101897918	2018-04-02	ur.010240402014.24	A high throughput, functional screen of human Body Mass Index GWAS loci using tissue-specific RNAi Drosophila Melanogaster crosses	10.1371/journal.pgen.1007222	1553-7390	Public Library of Science (PLoS)	14	4	e1007222
pub.1101637673	2018-04-03	ur.01313375444.17	Implementation of a nationwide health economic consultation service to assist substance use researchers: Lessons learned.	10.1080/08897077.2018.1449173	1533-2705	Taylor & Francis	39	2	185-189
pub.1101628389	2018-04-03	ur.012325757155.37	Sensorineural hearing loss degrades behavioral and physiological measures of human spatial selective auditory attention	10.1073/pnas.1721226115	0027-8424	Proceedings of the National Academy of Sciences	115	14	201721226
pub.1103154125	2018-04-03	ur.0740553560.73	The art and science of selecting graduate students in the biomedical sciences: Performance in doctoral study of the foundational sciences	10.1371/journal.pone.0193901	1932-6203	Public Library of Science (PLoS)	13	4	e0193901
pub.1058306672	2018-04-03	ur.0673046202.70	Unsupervised Self-Normalized Change-Point Testing for Time Series	10.1080/01621459.2016.1270214	0162-1459	Taylor & Francis	113	522	637-648
pub.1092670270	2018-04-03	ur.010424461217.80	Attachment to God as mediator of the relationship between God Representations and mental health	10.1080/19349637.2017.1396197	1934-9637	Taylor & Francis	20	2	1-19
